galaxy M_GCS M_gal M_GC_max M_GC_max_2nd M_GC_min M_GC_lim Reff M_NSC
FCC106 20035308.48 1440000026.209962 13765910.27 7753223.39 46609.4 370278.5888988801 1.0537900655279993 6784006.079567349
FCC19 1812189.03 339999986.6579776 1509516.85 525607.74 60124.34 244423.5795538686 1.3273700064454177 3933666.7906442084
FCC202 5874249.21 1080000110.6946976 20578734.66 20827492.65 54777.73 296427.5741986554 0.9929944244764406 5733440.361713133
FCC324 6334699.66 570000058.1786838 1107017.23 1018604.93 47760.41 516433.8492296144 1.9150627108878227 561402.9391765494
FCC288 2894013.66 650000064.8917866 1453106.87 1355070.98 53856.0 229965.93051791235 0.9929944244764406 2792596.509300556
FCC303 7406031.04 519999947.7541275 2368265.05 967435.05 50823.6 314626.50066261034 1.367902048724574 12872388.752975063
FCC203 11397248.11 929999896.0264077 2931629.19 1256144.63 57559.81 400144.1757911447 1.317237239150775 1749189.522647591
FCC100 6992967.92 860000096.5486231 929640.62 547379.92 54194.21 541771.056961378 1.7022760934003665 3735074.263000537
VCC1720 31636784.3 20209985410.4939 4805542.68 2670812.86 54553.1 4642350.213219066 2.601411165829684 63148670.079156086
VCC1619 28484955.89 17239989619.79967 4761594.95 2504071.23 65767.75 941343.6557621355 0.8343400671124485 200114260.23309228
VCC1883 35318426.54 16660000112.368414 7260092.01 4160487.28 33080.03 2957470.354631098 1.9990515798561006 26424093.167351387
VCC1242 62071768.95 15269998697.078735 7346826.11 7201323.97 69511.72 1675807.7710569939 1.3502991678027423 18279171.830828078
VCC784 16672724.78 16790011747.429838 2137025.36 1902888.11 59862.15 1401782.3905691076 1.1391200602908034 70534357.36809683
VCC828 32525428.99 13689985873.752905 9890542.92 3913534.24 69746.83 879319.8962690127 0.8647401026224272 55793986.87081501
VCC1250 8478288.64 3679999841.769708 2545095.9 2260457.56 81917.32 470404.96829745383 0.8855400344015245 17518021.589404337
VCC1630 24278456.68 11609994125.727327 4016910.18 2304082.91 62590.86 1063731.4508187445 1.0631200283601938 172988836.68434182
VCC1146 39066969.15 8690000471.249594 15125863.07 12086765.14 92724.51 1438722.3822818748 1.4878905998220335 867049457.162853
VCC1913 29461607.5 10739993041.948404 9240183.18 4810386.06 41561.54 1166260.0521166963 1.1735100141412595 139993574.15023655
VCC1125 19402393.83 8060001080.029838 3735922.25 2043487.7 55250.46 883657.158454709 1.0607198593123524 4435854.447752373
VCC1283 19508488.29 9080001076.294077 2662454.19 2292947.64 61069.77 1542849.6275320791 1.542289848400254 7774917.647998443
VCC1261 15437601.36 4870000434.923181 4910715.16 3846546.18 66292.97 1262562.2500269983 1.675880315999023 14757247.124698834
VCC698 45636341.56 9519998939.382856 4259715.41 2280284.36 84080.99 1233238.5728677413 1.2807105880740222 11739478.943911703
VCC1422 11530071.55 3820000326.2239823 3019008.8 1961266.62 53193.56 1001412.4812753282 1.543089087481077 7681512.4623432
VCC2048 10200229.8 2939999794.121859 3042379.04 1615353.18 98143.52 462536.4895907291 0.9519299697679874 2238413.578909944
VCC1871 5726249.84 2259999796.283105 5005772.64 3061893.85 72082.19 195496.28097227082 0.5455606020838555 31567903.210176047
VCC9 10346304.39 3079999882.9794726 1705963.08 1644873.28 83685.21 1598006.7152391968 2.3694306390069726 902144.6588761084
VCC1910 31111837.7 2100000025.4637601 16465247.88 3589415.31 77168.46 418052.47602584184 1.0015300512988496 10661631.57537946
VCC856 17838944.67 2220000130.601671 2794229.4 2792100.74 75877.18 532636.7158097529 1.1775099889889968 21621112.28938853
VCC140 7244858.68 2329999887.1949205 1758011.63 1285220.36 75013.34 295139.13492836175 0.7391507127131572 911304.730374718
VCC1355 2698780.95 1820000050.3510032 1941265.59 627346.82 65381.82 954486.0819175309 1.9638621502251816 2623873.278059005
VCC1087 25822016.64 3290000015.529986 31480033.73 3734502.2 77673.7 902437.4298880586 1.5094891648710864 8919901.064707661
VCC1861 21067437.71 2880000081.1739883 8377444.59 2761867.57 58104.69 629758.7349328963 1.211110027703311 6636234.325907228
VCC543 4926500.29 2189999925.1663055 1189732.38 1124055.4 76581.39 647689.5647872876 1.3710995869303126 1083132.888649234
VCC1431 21237496.02 2200000097.1487074 3533331.81 3046672.56 71601.58 312312.16432170547 0.7887402431693612 11357526.028644381
VCC1528 16527968.67 1629999983.4710054 2036572.04 2005559.17 51074.49 270260.39053553436 0.791939490792388 822741.574730553
VCC1695 3854576.05 1689999982.0464983 1844873.22 1445096.48 70379.68 708844.5424825224 1.6166797555108554 1077951.0139599545
VCC437 12124725.27 2799999797.929252 3760570.79 2190551.03 65237.63 1214398.4381464226 2.0014511747992336 6964124.329294561
VCC2019 9246585.23 1020000066.3210018 12978960.13 2828025.67 89045.54 378402.85113391303 1.219910024225932 6083341.226379305
VCC33 2908361.5 430000043.9811678 863291.55 515946.65 78190.34 124275.6376062909 0.7279507536536562 858204.0302399301
VCC200 2220323.3 1340000005.0453262 931779.86 819329.45 79136.09 343857.6572952733 1.0239298407956487 466212.8623516561
VCC21 8465432.75 559999965.1769203 3277974.69 2614166.23 64759.86 155472.64961058818 0.780739226374423 2671675.1586027807
VCC1488 1424444.21 410000040.8591639 855122.24 549015.36 82090.65 125037.79314595534 0.7447508370410302 178281.75190986224
VCC1779 2606412.2 1020000066.3210018 1130337.39 320577.79 116768.69 238849.42493884484 0.861539908967788 651432.5827238886
VCC1895 4655527.5 760000013.5083421 1104168.46 662497.66 83416.96 188719.4664341104 0.8055399802006891 250430.3724677752
VCC1545 15331381.15 1409999958.9124744 1891584.01 1713114.33 39943.76 297083.13622827205 0.899130024021427 1269107.7294343603
VCC1192 3328284.95 1849999879.009347 5984642.36 4476584.9 75449.27 192215.27619484713 0.5815606322157602 20609413.86204799
VCC1857 9138526.0 730000067.033015 3871956.55 1142714.35 71105.39 484768.5090972197 1.665478382392004 2189417.8996085436
VCC1075 5613720.72 1110000054.218535 2313197.08 955052.89 65686.57 371549.858289486 1.1655201870722012 2536860.046029
VCC1948 3167296.0 499999995.00797296 815916.97 453467.17 76388.7 170714.69245079218 0.8751399303162888 150514.51855223157
VCC1627 32691750.9 1029999941.4076673 27379865.37 1928577.54 84557.82 60717.48860735346 0.298380199507131 37509477.34044611
VCC1440 6848607.95 1190000105.7874153 1227061.71 882689.13 52489.41 167562.71940951023 0.619950479154409 14089097.559768219
VCC2050 1937092.82 290000001.4029716 2079843.25 793918.59 58723.53 127824.67582803794 0.8639400356230599 761216.0324599978
VCC751 2840029.69 1409999958.9124744 962455.13 757462.48 133683.91 253031.214485294 0.7959399436642557 2440200.147351801
VCC1828 6120188.7 1259999869.1023529 17628354.06 1680350.74 74517.58 395138.4573517408 1.1639199172673584 1770542.8980985556
VCC538 2243161.4 629999928.2612231 843476.69 432674.12 91621.02 65901.9856140981 0.38556979096995425 2507971.586469753
VCC1407 9931889.13 1240000042.36487 1248680.74 1067263.74 52570.3 244210.76271219374 0.8135399791751137 4848135.718236831
VCC1886 2525642.51 510000028.06863296 1918900.27 1758878.9 117484.5 207979.24628807898 1.0087299370611897 1059455.6334302656
VCC1199 4541236.71 580000008.5966923 12620868.75 6639169.37 53708.88 40659.12235816397 0.27278029831847495 14274174.98290616
VCC1539 10180649.56 519999947.7541275 3627088.33 2097764.45 71118.77 559601.2810291302 2.1038511029544327 3483019.291483382
VCC1185 4065013.42 889999986.382574 1356596.74 850199.01 70932.64 457128.922577983 1.4798885158276074 3036223.830715836
VCC1826 5986385.5 609999950.8246864 1801793.53 1263630.43 103526.76 106240.42515609454 0.5647600916072659 8242837.999452019
VCC1489 3185604.45 320000015.9744843 1110657.05 581730.48 73289.41 127763.88229126531 0.8319399887979404 688519.2554638148
VCC1661 2239859.79 430000043.9811678 1048748.15 704462.98 68947.2 1485281.2547609152 4.645259712053729 5590479.168627826
